region,state,code,park_name,type,visitors,year
PW,CA,CHIS,Channel Islands National Park,National Park,1200,1963
PW,CA,CHIS,Channel Islands National Park,National Park,1500,1964
PW,CA,CHIS,Channel Islands National Park,National Park,1600,1965
PW,CA,CHIS,Channel Islands National Park,National Park,300,1966
PW,CA,CHIS,Channel Islands National Park,National Park,15700,1967
PW,CA,CHIS,Channel Islands National Park,National Park,31000,1968
PW,CA,CHIS,Channel Islands National Park,National Park,33100,1969
PW,CA,CHIS,Channel Islands National Park,National Park,32000,1970
PW,CA,CHIS,Channel Islands National Park,National Park,24400,1971
PW,CA,CHIS,Channel Islands National Park,National Park,31947,1972
PW,CA,CHIS,Channel Islands National Park,National Park,44700,1973
PW,CA,CHIS,Channel Islands National Park,National Park,31000,1974
PW,CA,CHIS,Channel Islands National Park,National Park,74400,1975
PW,CA,CHIS,Channel Islands National Park,National Park,92600,1976
PW,CA,CHIS,Channel Islands National Park,National Park,87200,1977
PW,CA,CHIS,Channel Islands National Park,National Park,46416,1978
PW,CA,CHIS,Channel Islands National Park,National Park,82937,1979
PW,CA,CHIS,Channel Islands National Park,National Park,104574,1980
PW,CA,CHIS,Channel Islands National Park,National Park,87514,1981
PW,CA,CHIS,Channel Islands National Park,National Park,172287,1982
PW,CA,CHIS,Channel Islands National Park,National Park,205024,1983
PW,CA,CHIS,Channel Islands National Park,National Park,203411,1984
PW,CA,CHIS,Channel Islands National Park,National Park,164132,1985
PW,CA,CHIS,Channel Islands National Park,National Park,172913,1986
PW,CA,CHIS,Channel Islands National Park,National Park,174607,1987
PW,CA,CHIS,Channel Islands National Park,National Park,168592,1988
PW,CA,CHIS,Channel Islands National Park,National Park,152662,1989
PW,CA,CHIS,Channel Islands National Park,National Park,144083,1990
PW,CA,CHIS,Channel Islands National Park,National Park,149263,1991
PW,CA,CHIS,Channel Islands National Park,National Park,169181,1992
PW,CA,CHIS,Channel Islands National Park,National Park,184867,1993
PW,CA,CHIS,Channel Islands National Park,National Park,175226,1994
PW,CA,CHIS,Channel Islands National Park,National Park,525882,1995
PW,CA,CHIS,Channel Islands National Park,National Park,490715,1996
PW,CA,CHIS,Channel Islands National Park,National Park,488757,1997
PW,CA,CHIS,Channel Islands National Park,National Park,574270,1998
PW,CA,CHIS,Channel Islands National Park,National Park,607057,1999
PW,CA,CHIS,Channel Islands National Park,National Park,482571,2000
PW,CA,CHIS,Channel Islands National Park,National Park,520428,2001
PW,CA,CHIS,Channel Islands National Park,National Park,613935,2002
PW,CA,CHIS,Channel Islands National Park,National Park,585919,2003
PW,CA,CHIS,Channel Islands National Park,National Park,537716,2004
PW,CA,CHIS,Channel Islands National Park,National Park,434107,2005
PW,CA,CHIS,Channel Islands National Park,National Park,375256,2006
PW,CA,CHIS,Channel Islands National Park,National Park,360806,2007
PW,CA,CHIS,Channel Islands National Park,National Park,332177,2008
PW,CA,CHIS,Channel Islands National Park,National Park,348745,2009
PW,CA,CHIS,Channel Islands National Park,National Park,277515,2010
PW,CA,CHIS,Channel Islands National Park,National Park,242756,2011
PW,CA,CHIS,Channel Islands National Park,National Park,249594,2012
PW,CA,CHIS,Channel Islands National Park,National Park,212029,2013
PW,CA,CHIS,Channel Islands National Park,National Park,342161,2014
PW,CA,CHIS,Channel Islands National Park,National Park,324816,2015
PW,CA,CHIS,Channel Islands National Park,National Park,364807,2016